sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Melbourne_5,Australia,Macleod,-37.722477,145.0576,10870.0,36398,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1041,,-37.722477,145.0576,,100098,,,,
Bergen,Norway,Danmarks plass,60.37408,5.34042,10875.0,36411,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,602,594,,60.37408,5.34042,,100099,,,,
Spotswood,Australia,Spotswood,-37.82743,144.8801,232406.0,1337552,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1041,,-37.82743,144.8801,,100100,,,,
ZamoÅ›Ä‡,Poland,"ZamoÅ›Ä‡, ul. Hrubieszowska",50.716628,23.290247,10668.0,36005,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,564,652,,50.716628,23.290247,,100101,,,,
Lillehammer,Norway,Bankplassen,61.11295,10.46487,10880.0,36420,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,605,610,,61.11295,10.46487,,100102,,,,
Drammen,Norway,BangelÃ¸kka,59.73327,10.21167,10881.0,8950365,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,600,610,,59.73327,10.21167,,100103,,,,
Drammen_2,Norway,Backeparken,59.749526,10.165301,10893.0,36504,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,600,610,,59.749526,10.165301,,100104,,,,
Oslo,Norway,Smestad,59.9325,10.66987,10894.0,36514,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,601,611,,59.9325,10.66987,,100105,,,,
Stockholm_5,Sweden,Sankt Eriksgatan,59.338921,18.035773,10924.0,36709,SE,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,598,635,,59.338921,18.035773,,100106,,,,
Åask,Poland,"Åask, ul. Narutowicza",51.589208,19.131433,11571.0,39293,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,567,638,,51.589208,19.131433,,100107,,,,
Rangiora,New Zealand,Rangiora,-43.307439,172.594745,784924.0,4280438,NZ,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,188,1129,,-43.307439,172.594745,,100108,,,,
ReykjavÃ­k_2,Iceland,Reykjavik Husdyragardurinn,64.138861,-21.873411,10673.0,35576,IS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,618,507,,64.138861,-21.873411,,100109,,,,
KÄ™dzierzyn-KoÅºle,Poland,"KÄ™dzierzyn-KoÅºle, ul. ÅšmiaÅ‚ego",50.349608,18.236575,10618.0,35275,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,562,635,,50.349608,18.236575,,100110,,,,
Morwell_2,Australia,Morwell East,-38.229393,146.424454,10678.0,35570,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,208,1046,,-38.229393,146.424454,,100112,,,,
Jelenia GÃ³ra,Poland,"Jelenia GÃ³ra, ul. OgiÅ„skiego",50.913433,15.765608,10625.0,35303,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,565,627,,50.913433,15.765608,,100115,,,,
ElblÄ…g,Poland,"ElblÄ…g, ul. BaÅ¼yÅ„skiego",54.167847,19.410942,10691.0,35620,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,578,639,,54.167847,19.410942,,100116,,,,
Beograd,Serbia,Veliki Crljeni,44.47580847,20.30891418,784180.0,4275765,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,539,642,,44.47580847,20.30891418,,100117,,,,
Moe,Australia,Moe,-38.1864662,146.258331,10703.0,35654,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,208,1045,,-38.1864662,146.258331,,100118,,,,
Oslo_2,Norway,Hjortnes,59.91126,10.70398,10715.0,35696,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,601,611,,59.91126,10.70398,,100119,,,,
Beograd_2,Serbia,Beograd Zemun UgrinovaÄka,44.849212,20.377266,784153.0,4276193,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.849212,20.377266,,100120,,,,
æ–°åŒ—å¸‚,"Taiwan, Province of China",æ–°åŒ—å¸‚ - ä¸‰é‡,25.072611,121.493806,10717.0,35715,TW,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,461,966,,25.072611,121.493806,,100121,,,,
Beograd_3,Serbia,Beograd Zemun TB,44.835246,20.403299,784152.0,4276034,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.835246,20.403299,,100122,,,,
Beograd_4,Serbia,Beograd VraÄar Dom zdravlja,44.796427,20.486154,784150.0,4276016,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,643,,44.796427,20.486154,,100123,,,,
PoznaÅ„,Poland,"PoznaÅ„, ul. DÄ…browskiego",52.420319,16.877289,10720.0,35812,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,571,631,,52.420319,16.877289,,100124,,,,
GjÃ¸vik,Norway,"Minnesundvegen, GjÃ¸vik",60.79089,10.6967,10721.0,35721,NO,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,604,611,,60.79089,10.6967,,100125,,,,
Å»yrardÃ³w,Poland,"Å»yrardÃ³w, ul. Roosevelta",52.053811,20.429892,10724.0,35732,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,569,642,,52.053811,20.429892,,100126,,,,
